Other Materials Recovered (tons)	Household Batteries													23	39	38.08	332.51	142.73	149	294.0829990170896	1349.5199844483286	1755.0988333333325	2270.072	534.54	458.37	464.84	402.31	818.82	485.6
Other Materials Recovered (tons)	Industrial Batteries													41	738	0	5	30	29	0	0	0	0	99.19	1	1619.68	1582.41	1805.77	1970.1
Other Materials Recovered (tons)	Industrial Organics													0	0	0	0	13766.88	213	0	0	0	45585.78	85692.34	83681	46544.1	57063.4	51244.1	62942.85
Other Materials Recovered (tons)	Industrial Paper																								6475.97	3686	0	0	0
Other Materials Recovered (tons)	Landclearing Debris													0	0	151463.63	286201.11	160157.69	268486	475015.079555988	258562.60011601448	168007.33390000003	169427.82	162938.96	150287.36	160085.59	171961.58	144764.91	164662.13
Other Materials Recovered (tons)	Landclearing Debris for ER													0	0	0	0	0	0	0	208010	136205	141405.93333333332	78018.32	130765.52	100289.24	106485.94	82964.42	78698.28
Other Materials Recovered (tons)	Mattresses													0	0	16.16	76.7	0	0	0	0	0	0	0	0	1212.65	852	668.14	259.47
Other Materials Recovered (tons)	Miscellaneous													0	373.7	0	0	39.85	5	139.470002137124	2.050000049173832	0	0	12.84	57.370000000000005	510.36	589.43	612.69	631.76
Other Materials Recovered (tons)	Oil Filters													1.4	835	5942.02	5022.88	1749.65	3719	2720.8600207660347	2188.9800149835646	2634.82	2639.4700000000003	2534.69	1774.766	2228.8	3544.46	1781.32	2358.8
Other Materials Recovered (tons)	Other Fuels (Reuse & ER)													0	0	0	121348.64	2.3	115	16.329999640583992	1.1499999910593033	0.25	0	0	5.1	174.86	0	0	0
Other Materials Recovered (tons)	Other Organics													0	89678.1	91495.09	67338.28	36049.38	44419	81904.15956878662	121453.60971029103	149491.82	86190.94	47429.95	145250.76	149509.75	126096.02	112840.09	100884.96
Other Materials Recovered (tons)	Paint													0	40	86.6	433.54	388.67	688	912.4999930858612	1050.929992198944	344	928	552.07	207.18	179.66	375.67	668.38	175.58
Other Materials Recovered (tons)	Post-Industrial and Flat Glass													0	0	0	2364	2976	2253	4869.989941596985	5404.2800006866455	1706	0	1750	2389.81	1229.53	3661.06	1604.81	64.59
Other Materials Recovered (tons)	Post-Industrial Plastics													0	0	0	8118	0	0	696.5	0	0	0	223.1	0	0	0	0	0
Other Materials Recovered (tons)	Railroad Ties													0	121	12460	0	0	0	0	0	0	0	0	0	0	0	0	0
Other Materials Recovered (tons)	Reuse - Clothing & Household items													0	524	600.8	79.06	918.43	738	2891.4200282096863	804.4000091552734	4346.389999999999	2678.37	22001.38	6163.56	15050.09	5455.35	2593.21	19180.53
Other Materials Recovered (tons)	Reuse - Construct/demol. Items													0	1257	1975	76629.09	11926.86	5853	1928.9000244140625	1120.1300010681152	1374	0	150.91	8360.29	1839.22	2971.5	5688.54	8846.17
Other Materials Recovered (tons)	Reuse - Miscellaneous													0	198	334.07	309.53	7488.07	521	435	627	286	105	4148.49	5036.23	0	0	0	0
Other Materials Recovered (tons)	Roofing Material													10334	14412	11726.71	13825	6493	8186	2353	9119.529907226562	10187.83	10205.32	10872.13	14518.365	15469.73	13021.107	10898.91	8272.23
Other Materials Recovered (tons)	Tires (Baled)													0	0	0	0	0	0	0	0	9660.293753	5912.29	9672.38	0	4696.52	5134.52	0	1235.4
Other Materials Recovered (tons)	Tires (ER)													0	0	0	2817.51	9663.64	15400	5166.580030873418	9235.56010055542	16734.80667	8440.3329	10725.38	18121.1385	10449.9	10442.93	19391.84	11420.67
Other Materials Recovered (tons)	Tires (Retread/Reuse)													0	0	1009	1170	12976.22	251	4088.5	13265.500147804618	4764.089999999999	3829.1700000000005	6164.3	10834.1675	7812.93	7059.12	8442.14	6511.87
Other Materials Recovered (tons)	Used Oil for ER													6256	33020.7	19785.55	30838.46	15579.73	825	305.89999432861805	1283.2300019189715	129.15	32.74	177.14	2567.62	2409.48	3432.16	11018.62	14557.08
Other Materials Recovered (tons)	Wood Waste for ER													0	0	0	196100.41	189583.58	129927	163407.92166042328	372677.6074829791	353682.75739999994	331528.1368	613888.35	698615	519075.02	323474.2	367574.38	322181.65
Other Materials Recovered (tons)	Yard Waste for ER													0	0	0	0	0	0	30858.5498046875	21606.94	25068.99	26029	49993.62	46739	72708.87	81337.32	35967.75	31235.86
Other Materials Recovered (tons)	Total Other Materials Recovered													214306.4	1423710.1	1563035.1200000003	2401613.1199999996	2233394.5599999996	2702221	3144873.835708467	3661641.159736848	3289209.7835563323	2731503.5050333333	3665158.3699999996	3906191.221500001	3765635.3899999997	3449516.665000001	3640255.2399999998	3702389.199999999
Material Recovery and Waste Generation (tonnage summary):	Total Materials Recovered for Recycling	449886.8	1435431	1521131	1889469	1868719	2150735	2431787	2492696	2567869	2462608	2151262	2165769.9462265065	2166605.6756073935	2462771.51	2703772.29	2512787.53	2998427.770000001	3531753	3916871.5736691663	4020547.9531613966	4000732.9744531	4061093.7562000006	3772509.1899999995	4312580.553100001	4499073.47	4410954.702	4219306.239999998	4038720.8000000003
Material Recovery and Waste Generation (tonnage summary):	Total Other Materials Recovered													214306.4	1423710.1	1563035.1200000003	2401613.1199999996	2233394.5599999996	2702221	3144873.835708467	3661641.159736848	3289209.7835563323	2731503.5050333333	3665158.3699999996	3906191.221500001	3765635.3899999997	3449516.665000001	3640255.2399999998	3702389.199999999
Material Recovery and Waste Generation (tonnage summary):	Total Materials Recovered (Recycling + Other Materials Recovered))	449886.8	1435431	1521131	1889469	1868719	2150735	2431787	2492696	2567869	2462608	2151262	2165769.9462265065	2380912.0756073934	3886481.61	4266807.41	4914400.649999999	5231822.33	6233974	7061745.409377633	7682189.1128982445	7289942.758009432	6792597.2612333335	7437667.559999999	8218771.774600002	8264708.859999999	7860471.367000001	7859561.479999999	7741109.999999999
Material Recovery and Waste Generation (tonnage summary):	Total MSW Disposed	2510384	3687769	4053194	3726339	3839623	3945287	4041168	4106228	3968241	3800114	4203507	4276276	4480761	4610914.3	4611406	4703879	4805202	4917870	5060502	5258076	5309296	4978496.25	4613329.33	4548275.1	4377843.12	4396880.39	4486592.41	4590290
Material Recovery and Waste Generation (tonnage summary):	Other Waste Types Disposed													1673297	1966188	1646395	1380396	1316850	1596487	2619340	2474997	2747184	2520611.5800000005	1488387.6	2473613.7900000005	1925559.04	2725095.32	3016739.53	3538441.82
Material Recovery and Waste Generation (tonnage summary):	Tires - disposed in out-of- state landfills																		11730	16582	27640.9401999712	25811	17800.91	24942.69	21159.3415	12251	13554.07	16207.48	18136.96
Material Recovery and Waste Generation (tonnage summary):	Waste Types excluded from Recovery rate													773749	549239	1192376	1343941	1350013	2557428	2736151	1689840	1810580	1634267.82	1550645.32	1229534.7999999998	1361117	887805.12	1542176.62	1525316.6
Material Recovery and Waste Generation (tonnage summary):	All Other Waste Types								1021923	1086700	1216530	1589673	1272772	2447046	2515427	2838771	2724337	2666863	4165645	5372073	4192477.940199971	4583575	4172680.3100000005	3063975.6100000003	3724307.9315000004	3298927.04	3626454.51	4575123.63	5081895.38
Material Recovery and Waste Generation (tonnage summary):	Total Solid Waste Disposed (recoverable portion)													6154058	6577102.3	6257801	6084275	6122052	6526087	7696424	7760713.940199971	8082291	7516908.74	6126659.62	7043048.231500001	6315653.16	7135529.779999999	7519539.42	8146868.78
Material Recovery and Waste Generation (tonnage summary):	All Solid Waste Disposal								5128151	5054941	5016644	5793180	5549048	6927807	7126341.3	7450177	7428216	7472065	9083515	1.0432575E7	9450553.940199971	9892871	9151176.56	7677304.94	8272583.0315000005	7676770.16	8023334.899999999	9061716.04	9672185.38
Material Recovery and Waste Generation (tonnage summary):	Solid Waste Generated (recoverable portion)													8534970.075607393	1.046358391E7	1.052460841E7	1.0998675649999999E7	1.135387433E7	1.2760061E7	1.4758169409377633E7	1.5442903053098217E7	1.5372233758009432E7	1.4309506001233334E7	1.356432718E7	1.5261820006100003E7	1.458036202E7	1.4996001147E7	1.5379100899999999E7	1.588797878E7
Material Recovery and Waste Generation (tonnage summary):	Overall waste generation (recoverable and non-recoverable)								7620847	7622810	7479252	7944442	7714817.9462265065	9308719.075607393	1.101282291E7	1.171698441E7	1.2342616649999999E7	1.270388733E7	1.5317489E7	1.7494320409377635E7	1.7132743053098217E7	1.7182813758009434E7	1.5943773821233334E7	1.51149725E7	1.6491354806100003E7	1.594147902E7	1.5883806266999999E7	1.692127752E7	1.741329538E7
Material Recovery and Waste Generation (tonnage summary):	Recycling Rate (MSW)	0.15197488013596594	0.2801825031230481	0.2728816493476789	0.33645541300557286	0.3273663350934474	0.35280958631710974	0.3756842122338252	0.37774279564365343	0.392874201933566	0.3932168791780954	0.33852717541739125	0.33619287479548765	0.3259344310819777	0.3481595841475464	0.36961126343237766	0.34819227403043107	0.3842350109338927	0.4179775831418751	0.4363048436747065	0.4333129538881164	0.4297229348513511	0.4492564102370363	0.4498666628271778	0.48670023775765153	0.5068284042533737	0.5007989654581966	0.48464913383755037	0.468039836037753
Material Recovery and Waste Generation (tonnage summary):	Recovery Rate													0.27895962780372785	0.3714292964464792	0.40541246227706446	0.4468174902493829	0.4607962161582248	0.48855362055087354	0.47849738090758465	0.4974575755921108	0.4742279406342709	0.4746912479471954	0.5483255793893346	0.5385184579109856	0.5668383849909373	0.5241711633619416	0.5110546794058682	0.4872306356391042
Material Recovery and Waste Generation (tonnage summary):	Per Capita Waste Generation:	1986	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Material Recovery and Waste Generation (tonnage summary):	Population (rounded to nearest hundred)	4462200	4616900	4728100	4866700	5021300	5141200	5265700	5364300	5470100	5567800	5663800	5750000	5830800	5894100	5974900	6041700	6098300	6167800	6256400	6375600	6488000	6587600	6668200	6724540	6767900	6817770	6882400	6968170
Material Recovery and Waste Generation (tonnage summary):	MSW Disposed (lbs/person/day)	3.0826786713108527	4.376736213618994	4.69729536003486	4.195511515074066	4.189956811380778	4.204857029274121	4.205212279729165	4.194373814300989	3.975025374558027	3.739815091374228	4.066689337281181	4.075069446098868	4.210762685822384	4.286538035597706	4.229021085238545	4.266130303069466	4.3175760412906445	4.369018592806564	4.4320660575077975	4.519006108047204	4.483975474215834	4.141027309923085	3.79090562321351	3.7061353404791633	3.544405425531118	3.533779415801829	3.5720196443101244	3.609595341761573
Material Recovery and Waste Generation (tonnage summary):	MSW Recovered for Recycling (lbs/person/day)	0.5524479294260525	1.7036053071250739	1.7628570426940302	2.1273665511579813	2.0392241380486253	2.29223708765823	2.530501219965551	2.546205137516187	2.572259203395395	2.4235321789132915	2.0812417434057293	2.0638665360109654	2.0360519862002473	2.289516365680749	2.4795713116766787	2.278944468364955	2.694151026594208	3.137597073977222	3.4304568110587175	3.455423762994874	3.378826220337736	3.3779477392560704	3.099979489648887	3.514081018649706	3.6425563867467035	3.5450909616310686	3.35921862236652	3.1758664019823533
Material Recovery and Waste Generation (tonnage summary):	MSW generated (lbs/person/day)	3.6351266007369056	6.080341520744068	6.46015240272889	6.322878066232048	6.229180949429404	6.4970941169323515	6.735713499694716	6.7405789518171755	6.547284577953422	6.1633472702875185	6.14793108068691	6.138935982109833	6.24681467202263	6.576054401278455	6.708592396915224	6.54507477143442	7.011727067884852	7.506615666783787	7.862522868566513	7.974429871042078	7.862801694553569	7.518975049179155	6.8908851128623985	7.220216359128869	7.186961812277821	7.078870377432897	6.931238266676643	6.785461743743926
Material Recovery and Waste Generation (tonnage summary):	All Solid Waste Disposed (lbs/person/day)								5.238233792712297	5.0635832707473485	4.937041609607494	5.604620935554666	5.287955211435378	6.5103564350294745	6.6250055953329685	6.83239680517379	6.736937190634677	6.7138090808599475	8.06976311350998	9.137010824203687	8.122193551442246	8.355041974224278	7.611790819946483	6.30866265690398	6.740865857056536	6.21529485178523	6.448366387265863	7.214523796254572	7.605766801727644
Material Recovery and Waste Generation (tonnage summary):	Materials Recovered (lbs/person/day)								2.546205137516187	2.572259203395395	2.4235321789132915	2.0812417434057293	2.0638665360109654	2.2374448729114387	3.6130689407773224	3.912997143071346	4.457060552448156	4.700903467595618	5.538240806095467	6.184786042108888	6.602388311686803	6.156734251650619	5.649965240824674	6.111745717663019	6.697018069372655	6.691303941430204	6.317472719607973	6.2574233263643295	6.087256926264773
Material Recovery and Waste Generation (tonnage summary):	Waste Generation (recoverable portion - lbs/person/day)													8.020676291143012	9.727474314342203	9.651891609580444	9.975125525996152	10.201697198792656	11.335993784777948	12.92543342740552	13.272264079661772	12.982647634418385	11.902400276512312	11.1461984401122	12.436004692117049	11.804606248635025	12.052308789916664	12.24413664236273	12.493584107822102
Material Recovery and Waste Generation (tonnage summary):	Waste Generation (recoverable and non-recoverable - lbs/person/day)								7.784438930228484	7.635842474142743	7.360573788520785	7.685862678960396	7.351821747446342	8.747801307940914	10.238074536110291	10.745393948245136	11.193997743082832	11.414712548455567	13.608003919605444	15.321796866312576	14.724581863129051	14.511776225874899	13.261756060771157	12.420408374567002	13.437883926429192	12.906598793215435	12.765839106873836	13.4719471226189	13.69302372799242
