OBJECTID	SHAPE_LATITUDE	SHAPE_LONGITUDE	SHAPE_LOCATION	ZONE	CONTRACTOR	CNTR_DESC	SUBZONE	FREQUENCY	PCKUP_DAY	ROUTE_ID	SHAPE_LENGTH	SHAPE_AREA
83	47.571592096000074	-122.36068905099995	(47.571592096000074, -122.36068905099995)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2820	8710.61	2001841.75
84	47.55741571900006	-122.35378510099997	(47.55741571900006, -122.35378510099997)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3820	8131.51	2559502.52
85	47.56794836300003	-122.28924361599996	(47.56794836300003, -122.28924361599996)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4825	7147.92	1711087.66
86	47.56850716300005	-122.39746067399994	(47.56850716300005, -122.39746067399994)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1825	6148.57	1309049.98
87	47.57009718900008	-122.27826702399994	(47.57009718900008, -122.27826702399994)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4833	5856.51	1577602.71
88	47.56836864700006	-122.38148656099997	(47.56836864700006, -122.38148656099997)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1827	4396.08	1209506.33
89	47.56532390800004	-122.31269100199995	(47.56532390800004, -122.31269100199995)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3834	5666.79	1346985.33
90	47.56472028700006	-122.386771437	(47.56472028700006, -122.386771437)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1823	5253.44	1099165.82
91	47.56359679900004	-122.37619205599998	(47.56359679900004, -122.37619205599998)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2823	5994.94	1367719.03
92	47.55513857300008	-122.36630370799998	(47.55513857300008, -122.36630370799998)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE		5804.17	1863548.21
93	47.56062657800004	-122.26171666799996	(47.56062657800004, -122.26171666799996)	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4837	10218.29	5139001.64
94	47.56114223800006	-122.38145861699996	(47.56114223800006, -122.38145861699996)	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2821	5875.16	1342231.14
