•ÈÀOBJECTID	Shape	ZONE	CONTRACTOR	CNTR_DESC	SUBZONE	FREQUENCY	PCKUP_DAY	ROUTE_ID	Shape_Length	Shape_Area
82	"(47.57290385400006, -122.27834490499998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4834	"7,464.00"	"2,378,649.25"
83	"(47.571592096000074, -122.36068905099995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2820	"8,710.61"	"2,001,841.75"
84	"(47.55741571900006, -122.35378510099997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3820	"8,131.51"	"2,559,502.52"
85	"(47.56794836300003, -122.28924361599996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4825	"7,147.92"	"1,711,087.66"
86	"(47.56850716300005, -122.39746067399994)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1825	"6,148.57"	"1,309,049.98"
87	"(47.57009718900008, -122.27826702399994)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4833	"5,856.51"	"1,577,602.71"
88	"(47.56836864700006, -122.38148656099997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1827	"4,396.08"	"1,209,506.33"
89	"(47.56532390800004, -122.31269100199995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3834	"5,666.79"	"1,346,985.33"
90	"(47.56472028700006, -122.386771437)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1823	"5,253.44"	"1,099,165.82"
91	"(47.56359679900004, -122.37619205599998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2823	"5,994.94"	"1,367,719.03"
92	"(47.55513857300008, -122.36630370799998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	 	"5,804.17"	"1,863,548.21"
93	"(47.56062657800004, -122.26171666799996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4837	"10,218.29"	"5,139,001.64"
94	"(47.56114223800006, -122.38145861699996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2821	"5,875.16"	"1,342,231.14"
95	"(47.56110533100008, -122.30508701899998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3835	"6,085.10"	"1,275,029.18"
96	"(47.56081720100008, -122.29337876899996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4826	"5,261.15"	"1,326,928.18"
97	"(47.55932476300006, -122.38682976799998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1822	"5,152.79"	"1,057,312.78"
98	"(47.56057152000005, -122.274470383)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4835	"4,993.40"	"1,136,177.37"
99	"(47.56059431500006, -122.26944638999998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4836	"5,021.82"	"1,057,775.98"
100	"(47.55741571900006, -122.35378510099997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3821	"8,283.93"	"2,061,662.41"
101	"(47.55378139600003, -122.30287059299997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3836	"5,048.32"	"1,134,290.50"
102	"(47.552110319000064, -122.387038384)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1821	"8,310.51"	"1,190,141.47"
103	"(47.53800507400007, -122.31921728199995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3832	"16,999.05"	"9,484,847.01"
104	"(47.555290580000076, -122.29004472499997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4827	"6,218.52"	"1,588,982.19"
105	"(47.55512807100007, -122.36294548499995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2822	"8,492.50"	"1,729,483.86"
106	"(47.55569696400005, -122.28325121099999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4828	"3,552.48"	"487,020.55"
107	"(47.55374724400008, -122.36821508099996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2824	"7,352.49"	"1,570,227.21"
108	"(47.55373678800004, -122.36821527799998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2897	"7,188.62"	"1,557,389.63"
109	"(47.553411691000065, -122.30852004299999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3837	"3,909.33"	"848,226.43"
110	"(47.55191786100005, -122.354810354)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3822	"7,895.88"	"1,408,201.34"
111	"(47.55117601400008, -122.27766423599996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5823	"5,560.77"	"1,487,155.18"
112	"(47.55116467600004, -122.27538215999999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5821	"4,480.09"	"1,207,641.08"
113	"(47.55122050300008, -122.24302352799998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5820	"9,517.05"	"3,625,533.69"
114	"(47.54668272500004, -122.38719545099997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	MON	1820	"6,384.37"	"1,324,424.70"
115	"(47.54975610000008, -122.28733133599997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	THU	4828	"3,571.86"	"702,871.29"
116	"(47.546379278000074, -122.30060094999999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3837	"4,253.26"	"588,516.91"
117	"(47.54628099100006, -122.29688653799997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5824	"7,843.55"	"2,741,585.50"
118	"(47.54487201900008, -122.38721484699994)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2830	"10,931.05"	"4,111,003.11"
119	"(47.54473087500003, -122.37913894099995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2825	"4,651.42"	"1,164,013.41"
120	"(47.54467198400005, -122.37442428299994)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2826	"6,472.60"	"1,193,567.56"
121	"(47.54605522000003, -122.263726771)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5822	"6,070.79"	"1,317,325.62"
122	"(47.54247599800004, -122.27280766599995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5825	"5,568.85"	"1,363,111.79"
123	"(47.53915316800004, -122.33032661199996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3830	"6,810.12"	"1,961,614.44"
124	"(47.53681807600003, -122.37837224199995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	TUE	2827	"4,298.76"	"974,720.41"
125	"(47.53896392000007, -122.29647349499999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5826	"6,074.57"	"1,456,072.36"
126	"(47.53795416400004, -122.36109192799995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3823	"6,939.16"	"1,196,017.29"
127	"(47.53549934400007, -122.34712978399995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	WED	3825	"7,699.22"	"1,346,131.15"
